#t_s,value
1.154000,-0.012383
1.155000,-0.012197
1.156000,-0.011881
1.157000,-0.011428
1.158000,-0.010829
1.159000,-0.010080
1.160000,-0.009175
1.161000,-0.008112
1.162000,-0.006887
1.163000,-0.005502
1.164000,-0.003957
1.165000,-0.002256
1.166000,-0.000400
1.167000,0.001602
1.168000,0.003743
1.169000,0.006016
1.170000,0.008410
1.171000,0.010914
1.172000,0.013517
1.173000,0.016203
1.174000,0.018960
1.175000,0.021771
1.176000,0.024621
1.177000,0.027492
1.178000,0.030368
1.179000,0.033232
1.180000,0.036066
1.181000,0.038851
1.182000,0.041570
1.183000,0.044207
1.184000,0.046743
1.185000,0.049161
1.186000,0.051447
1.187000,0.053586
1.188000,0.055561
1.189000,0.057362
1.190000,0.058976
1.191000,0.060392
1.192000,0.061601
1.193000,0.062594
1.194000,0.063366
1.195000,0.063912
1.196000,0.064228
1.197000,0.064314
1.198000,0.064169
1.199000,0.063796
1.200000,0.063197
1.201000,0.062380
1.202000,0.061349
1.203000,0.060116
1.204000,0.058690
1.205000,0.057081
1.206000,0.055306
1.207000,0.053375
1.208000,0.051308
1.209000,0.049119
1.210000,0.046828
1.211000,0.044454
1.212000,0.042015
1.213000,0.039531
1.214000,0.037026
1.215000,0.034518
1.216000,0.032028
1.217000,0.029578
1.218000,0.027191
1.219000,0.024885
1.220000,0.022681
1.221000,0.020600
1.222000,0.018659
1.223000,0.016878
1.224000,0.015273
1.225000,0.013859
1.226000,0.012653
1.227000,0.011666
1.228000,0.010912
1.229000,0.010401
1.230000,0.010140
1.231000,0.010138
1.232000,0.010400
1.233000,0.010930
1.234000,0.011729
1.235000,0.012798
1.236000,0.014135
1.237000,0.015738
1.238000,0.017601
1.239000,0.019718
1.240000,0.022081
1.241000,0.024679
1.242000,0.027504
1.243000,0.030540
1.244000,0.033777
1.245000,0.037199
1.246000,0.040791
1.247000,0.044536
1.248000,0.048418
1.249000,0.052418
1.250000,0.056519
1.251000,0.060703
1.252000,0.064952
1.253000,0.069247
1.254000,0.073571
1.255000,0.077905
1.256000,0.082233
1.257000,0.086538
1.258000,0.090805
1.259000,0.095017
1.260000,0.099163
1.261000,0.103228
1.262000,0.107202
1.263000,0.111072
1.264000,0.114832
1.265000,0.118474
1.266000,0.121992
1.267000,0.125379
1.268000,0.128636
1.269000,0.131759
1.270000,0.134749
1.271000,0.137607
1.272000,0.140337
1.273000,0.142943
1.274000,0.145432
1.275000,0.147812
1.276000,0.150090
1.277000,0.152277
1.278000,0.154384
1.279000,0.156421
1.280000,0.158405
1.281000,0.160347
1.282000,0.162262
1.283000,0.164164
1.284000,0.166068
1.285000,0.167991
1.286000,0.169948
1.287000,0.171953
1.288000,0.174024
1.289000,0.176174
1.290000,0.178418
1.291000,0.180770
1.292000,0.183245
1.293000,0.185853
1.294000,0.188607
1.295000,0.191519
1.296000,0.194597
1.297000,0.197850
1.298000,0.201287
1.299000,0.204913
1.300000,0.208733
1.301000,0.212750
1.302000,0.216969
1.303000,0.221391
1.304000,0.226014
1.305000,0.230838
1.306000,0.235860
1.307000,0.241078
1.308000,0.246486
1.309000,0.252079
1.310000,0.257852
1.311000,0.263796
1.312000,0.269905
